Date,Price,Open,High,Low,Change %
26-Mar-17,1.397,1.3994,1.4,1.3905,-0.14%
02-Apr-17,1.4048,1.3981,1.4066,1.395,0.56%
09-Apr-17,1.3978,1.4051,1.4086,1.393,-0.50%
16-Apr-17,1.3969,1.3974,1.4003,1.3932,-0.06%
23-Apr-17,1.397,1.3971,1.3994,1.3907,0.01%
30-Apr-17,1.4048,1.397,1.4065,1.3918,0.56%
07-May-17,1.404,1.4049,1.4131,1.4024,-0.06%
14-May-17,1.385,1.4045,1.4048,1.3837,-1.35%
21-May-17,1.3818,1.3864,1.392,1.3804,-0.23%
28-May-17,1.3807,1.3817,1.3887,1.3801,-0.08%
04-Jun-17,1.3844,1.3803,1.3855,1.378,0.27%
11-Jun-17,1.3835,1.3849,1.3874,1.3709,-0.07%
18-Jun-17,1.3875,1.383,1.3917,1.3805,0.29%
25-Jun-17,1.3764,1.3869,1.3895,1.3755,-0.80%
02-Jul-17,1.3821,1.377,1.3845,1.3755,0.41%
09-Jul-17,1.3715,1.3822,1.3866,1.3692,-0.77%
16-Jul-17,1.3623,1.3711,1.3722,1.3611,-0.67%
23-Jul-17,1.3566,1.3637,1.3644,1.3538,-0.42%
30-Jul-17,1.3608,1.3572,1.3621,1.3539,0.31%
06-Aug-17,1.3606,1.3605,1.3657,1.3585,-0.01%
13-Aug-17,1.3631,1.3606,1.3691,1.3584,0.18%
20-Aug-17,1.3558,1.3635,1.3642,1.3552,-0.54%
27-Aug-17,1.3576,1.3551,1.3613,1.3503,0.13%
03-Sep-17,1.3421,1.3576,1.3586,1.3344,-1.14%
10-Sep-17,1.3453,1.3413,1.3539,1.3408,0.24%
17-Sep-17,1.3458,1.3455,1.3537,1.3403,0.04%
24-Sep-17,1.3575,1.3457,1.3648,1.3456,0.87%
01-Oct-17,1.3646,1.3575,1.3693,1.3572,0.52%
08-Oct-17,1.3493,1.3656,1.3658,1.3487,-1.12%
15-Oct-17,1.3613,1.3491,1.3618,1.3491,0.89%
22-Oct-17,1.3655,1.3616,1.3716,1.3586,0.31%
29-Oct-17,1.365,1.3658,1.367,1.3568,-0.04%
05-Nov-17,1.3603,1.3647,1.3662,1.358,-0.34%
12-Nov-17,1.3554,1.3599,1.3631,1.353,-0.36%
19-Nov-17,1.3454,1.3554,1.3581,1.3444,-0.74%
26-Nov-17,1.3468,1.3458,1.351,1.3418,0.10%
03-Dec-17,1.3522,1.3467,1.354,1.3451,0.40%
10-Dec-17,1.3484,1.3526,1.354,1.344,-0.28%
17-Dec-17,1.3439,1.3486,1.35,1.3431,-0.33%
24-Dec-17,1.3375,1.3437,1.3446,1.3352,-0.48%
31-Dec-17,1.3267,1.3378,1.338,1.3256,-0.81%
07-Jan-18,1.3254,1.3273,1.3372,1.325,-0.10%
14-Jan-18,1.321,1.3229,1.3276,1.3171,-0.33%
21-Jan-18,1.3077,1.3201,1.3225,1.3007,-1.01%
28-Jan-18,1.3195,1.3069,1.32,1.3058,0.90%
04-Feb-18,1.3296,1.3194,1.3341,1.3157,0.77%
11-Feb-18,1.312,1.3305,1.3305,1.3054,-1.32%
18-Feb-18,1.3197,1.312,1.3258,1.3099,0.59%
25-Feb-18,1.3196,1.3196,1.3287,1.3142,-0.01%
04-Mar-18,1.3168,1.3196,1.3217,1.3135,-0.21%
11-Mar-18,1.3175,1.316,1.3184,1.3079,0.05%
18-Mar-18,1.3155,1.3175,1.3196,1.3109,-0.15%
25-Mar-18,1.311,1.3143,1.3154,1.3052,-0.34%
01-Apr-18,1.3156,1.311,1.3199,1.3087,0.35%
08-Apr-18,1.3121,1.3159,1.3173,1.3075,-0.27%
15-Apr-18,1.3163,1.312,1.3175,1.3079,0.32%
22-Apr-18,1.3237,1.3163,1.3298,1.3157,0.56%
29-Apr-18,1.3338,1.324,1.3375,1.3226,0.76%
06-May-18,1.3362,1.3336,1.3492,1.3314,0.18%
13-May-18,1.3429,1.3357,1.346,1.3308,0.50%
20-May-18,1.3417,1.344,1.3474,1.3357,-0.09%
27-May-18,1.3384,1.3429,1.3485,1.3356,-0.25%
03-Jun-18,1.3353,1.3384,1.3395,1.3303,-0.23%
10-Jun-18,1.3509,1.3353,1.352,1.3328,1.17%
17-Jun-18,1.3582,1.3509,1.3643,1.3493,0.54%
24-Jun-18,1.3628,1.3582,1.3707,1.3577,0.34%
01-Jul-18,1.3574,1.363,1.3747,1.3566,-0.40%
08-Jul-18,1.3657,1.3582,1.3692,1.3525,0.61%
15-Jul-18,1.3624,1.3654,1.3747,1.3582,-0.24%
22-Jul-18,1.3619,1.3625,1.3682,1.3572,-0.04%
29-Jul-18,1.3665,1.3618,1.3715,1.3598,0.34%
05-Aug-18,1.3734,1.3665,1.3738,1.3612,0.50%
12-Aug-18,1.371,1.373,1.382,1.3705,-0.17%
19-Aug-18,1.365,1.3716,1.3746,1.364,-0.44%
26-Aug-18,1.3722,1.3647,1.3733,1.3605,0.53%
02-Sep-18,1.3788,1.372,1.3816,1.3691,0.48%
09-Sep-18,1.3742,1.3785,1.3816,1.3672,-0.33%
16-Sep-18,1.3642,1.3741,1.3757,1.361,-0.73%
23-Sep-18,1.3665,1.3646,1.3691,1.3619,0.17%
30-Sep-18,1.3828,1.3665,1.3836,1.3662,1.19%
07-Oct-18,1.3779,1.3832,1.3877,1.3733,-0.35%
14-Oct-18,1.3777,1.378,1.3822,1.3725,-0.01%
21-Oct-18,1.38,1.3776,1.3853,1.376,0.17%
28-Oct-18,1.3749,1.3799,1.3874,1.3699,-0.37%
04-Nov-18,1.3792,1.3749,1.3799,1.3681,0.31%
11-Nov-18,1.3723,1.3788,1.3857,1.3716,-0.50%
18-Nov-18,1.3753,1.3721,1.3768,1.37,0.22%
25-Nov-18,1.3721,1.3749,1.38,1.3689,-0.23%
02-Dec-18,1.3701,1.3708,1.3727,1.3626,-0.15%
09-Dec-18,1.3769,1.37,1.3778,1.3688,0.50%
16-Dec-18,1.3747,1.3766,1.3775,1.3665,-0.16%
23-Dec-18,1.3665,1.374,1.3751,1.3652,-0.60%
30-Dec-18,1.3593,1.3664,1.3679,1.3582,-0.53%
06-Jan-19,1.3532,1.36,1.36,1.3498,-0.45%
13-Jan-19,1.3586,1.3526,1.3588,1.351,0.40%
20-Jan-19,1.3538,1.3582,1.3618,1.3522,-0.35%
27-Jan-19,1.35,1.3535,1.3547,1.344,-0.28%
03-Feb-19,1.3565,1.3496,1.3587,1.3493,0.48%
10-Feb-19,1.3567,1.3564,1.3617,1.3535,0.01%
17-Feb-19,1.3512,1.3567,1.358,1.3494,-0.41%
24-Feb-19,1.3552,1.3512,1.3558,1.3469,0.30%
03-Mar-19,1.3591,1.3552,1.3617,1.3524,0.29%
